verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,memory_span,gans_threshold,lam,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,10,0.01,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,0,0.8260047281323877,0.6674828599412341,0.6387406616862327,0.8670694864048338,0.9919314170448815,0.798245830641914
False,10,0.01,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,1,0.8260047281323877,0.6674828599412341,0.6387406616862327,0.8670694864048338,0.9919314170448815,0.798245830641914
False,10,0.01,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,2,0.8260047281323877,0.6674828599412341,0.6387406616862327,0.8670694864048338,0.9919314170448815,0.798245830641914
False,10,0.01,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,3,0.8260047281323877,0.6674828599412341,0.6387406616862327,0.8670694864048338,0.9919314170448815,0.798245830641914
False,10,0.01,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,4,0.8260047281323877,0.6674828599412341,0.6387406616862327,0.8670694864048338,0.9919314170448815,0.798245830641914
False,10,0.01,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,0,0.6846335697399527,0.5739471106758081,0.5624332977588047,0.8660624370594159,0.9899142713061019,0.7353981373080167
False,10,0.01,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,1,0.6846335697399527,0.5739471106758081,0.5624332977588047,0.8660624370594159,0.9899142713061019,0.7353981373080167
False,10,0.01,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,2,0.6846335697399527,0.5739471106758081,0.5624332977588047,0.8660624370594159,0.9899142713061019,0.7353981373080167
False,10,0.01,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,3,0.6846335697399527,0.5739471106758081,0.5624332977588047,0.8660624370594159,0.9899142713061019,0.7353981373080167
False,10,0.01,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,4,0.6846335697399527,0.5739471106758081,0.5624332977588047,0.8660624370594159,0.9899142713061019,0.7353981373080167
False,10,0.05,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,0,0.933806146572104,0.8623898139079333,0.8404482390608324,0.9436052366565961,0.9848714069591528,0.9130241686313237
False,10,0.05,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,1,0.933806146572104,0.8623898139079333,0.8404482390608324,0.9436052366565961,0.9848714069591528,0.9130241686313237
False,10,0.05,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,2,0.933806146572104,0.8623898139079333,0.8404482390608324,0.9436052366565961,0.9848714069591528,0.9130241686313237
False,10,0.05,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,3,0.933806146572104,0.8623898139079333,0.8404482390608324,0.9436052366565961,0.9848714069591528,0.9130241686313237
False,10,0.05,,gans.csv,1,,False,True,block_condition_by_others,False,,0.99,4,0.933806146572104,0.8623898139079333,0.8404482390608324,0.9436052366565961,0.9848714069591528,0.9130241686313237
False,10,0.05,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,0,0.924822695035461,0.7174338883447601,0.7790821771611526,0.9154078549848943,0.983358547655068,0.8640210326362672
False,10,0.05,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,1,0.924822695035461,0.7174338883447601,0.7790821771611526,0.9154078549848943,0.983358547655068,0.8640210326362672
False,10,0.05,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,2,0.924822695035461,0.7174338883447601,0.7790821771611526,0.9154078549848943,0.983358547655068,0.8640210326362672
False,10,0.05,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,3,0.924822695035461,0.7174338883447601,0.7790821771611526,0.9154078549848943,0.983358547655068,0.8640210326362672
False,10,0.05,,gans.csv,1,,True,True,block_condition_by_others,False,,0.99,4,0.924822695035461,0.7174338883447601,0.7790821771611526,0.9154078549848943,0.983358547655068,0.8640210326362672
