verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,memory_span,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,10,0,,dpm.csv,5,,False,True,plain_prediction,False,,0.0,0.0,0.1648879402347919,0.0,0.0,0.03297758804695838
False,10,0,,dpm.csv,5,,False,True,conditional_converse_prediction,False,,0.02553191489361702,0.005876591576885406,0.06670224119530416,0.0,0.0,0.019622149533161316
False,10,0,,dpm.csv,5,,False,True,conditional_prediction,False,,0.0,0.0,0.1648879402347919,0.0,0.0,0.03297758804695838
False,10,0,,dpm.csv,5,,False,True,contion_by_others,False,,0.0,0.0,0.1648879402347919,0.0,0.0,0.03297758804695838
False,10,0,,dpm.csv,5,,False,True,converse_prediction,False,,0.02553191489361702,0.005876591576885406,0.06670224119530416,0.0,0.0,0.019622149533161316
False,10,0,,dpm.csv,5,,False,True,plain_prediction,False,,0.0,0.0,0.0,0.0,0.9974785678265254,0.1994957135653051
False,10,0,,dpm.csv,5,,False,True,conditional_converse_prediction,False,,0.0037825059101654845,0.05729676787463271,0.11632870864461047,0.10473313192346426,0.7987897125567323,0.21618616538192104
False,10,0,,dpm.csv,5,,False,True,conditional_prediction,False,,0.0,0.0,0.0,0.0,0.9974785678265254,0.1994957135653051
False,10,0,,dpm.csv,5,,False,True,contion_by_others,False,,0.0,0.0,0.0,0.0,0.9974785678265254,0.1994957135653051
False,10,0,,dpm.csv,5,,False,True,converse_prediction,False,,0.0037825059101654845,0.05729676787463271,0.11632870864461047,0.10322255790533737,0.7987897125567323,0.21588405057829566
False,10,0,,dpm.csv,1,,False,True,plain_prediction,False,,0.0,0.0,0.0,0.0055387713997985906,0.9929399899142713,0.199695752262814
False,10,0,,dpm.csv,1,,False,True,conditional_converse_prediction,False,,0.0,0.16993143976493633,0.0,0.04833836858006042,0.9722642460917801,0.23810681088735536
False,10,0,,dpm.csv,1,,False,True,conditional_prediction,False,,0.0,0.0,0.0,0.0055387713997985906,0.9929399899142713,0.199695752262814
False,10,0,,dpm.csv,1,,False,True,contion_by_others,False,,0.0,0.0,0.0,0.0010070493454179255,0.9929399899142713,0.19878940785193785
False,10,0,,dpm.csv,1,,False,True,converse_prediction,False,,0.0,0.16993143976493633,0.0,0.04783484390735146,0.9737771053958648,0.23830867781363052
False,10,0,,dpm.csv,1,,False,True,dpm_prediction,False,,0.0,0.0,0.0,0.0055387713997985906,0.9929399899142713,0.199695752262814
False,10,0,,dpm.csv,1,,False,True,plain_prediction,True,,0.0,0.0,0.0,0.0,0.9954614220877458,0.19909228441754917
False,10,0,,dpm.csv,1,,False,True,conditional_converse_prediction,True,,0.017494089834515367,0.18854064642507345,0.003735325506937033,0.0,0.9536056480080686,0.2326751419549189
False,10,0,,dpm.csv,1,,False,True,conditional_prediction,True,,0.0,0.0,0.0,0.0,0.9949571356530509,0.1989914271306102
False,10,0,,dpm.csv,1,,False,True,contion_by_others,True,,0.0,0.0,0.0,0.0,0.9949571356530509,0.1989914271306102
False,10,0,,dpm.csv,1,,False,True,converse_prediction,True,,0.014657210401891253,0.16454456415279137,0.003735325506937033,0.0,0.9576399394856279,0.22811540790944948
False,10,0,,dpm.csv,1,,False,True,dpm_prediction,True,,0.0,0.0,0.0,0.0,0.9954614220877458,0.19909228441754917
False,10,0,,dpm.csv,1,,False,True,plain_prediction,False,,0.00047281323877068556,0.0004897159647404506,0.0,0.0030211480362537764,0.989409984871407,0.19867873242223438
False,10,0,,dpm.csv,1,,False,True,conditional_converse_prediction,False,,0.0,0.0,0.0,0.0377643504531722,0.9848714069591528,0.204527151482465
False,10,0,,dpm.csv,1,,False,True,conditional_prediction,False,,0.00047281323877068556,0.0004897159647404506,0.0,0.0010070493454179255,0.989409984871407,0.19827591268406722
False,10,0,,dpm.csv,1,,False,True,contion_by_others,False,,0.00047281323877068556,0.0004897159647404506,0.0,0.0010070493454179255,0.989409984871407,0.19827591268406722
False,10,0,,dpm.csv,1,,False,True,converse_prediction,False,,0.0,0.0,0.0,0.0377643504531722,0.9848714069591528,0.204527151482465
False,10,0,,dpm.csv,1,,False,True,dpm_prediction,False,,0.00047281323877068556,0.0004897159647404506,0.0,0.0030211480362537764,0.989409984871407,0.19867873242223438
False,10,0,,dpm.csv,1,,False,True,True,False,,0.9990543735224586,0.0,0.0,0.0,0.0,0.19981087470449171
False,10,0,,dpm.csv,1,,False,True,True,True,,0.9995271867612293,0.0,0.0,0.0,0.0,0.19990543735224586
True,10,0.2,0.9,dpm.csv,2,,True,True,converse_prediction,True,,100,10,0.7040189125295508,0.05778648383937316,0.211846318036286,0.6475327291037261,0.0751386787695411,0.33926462445569544
True,10,0.2,0.9,dpm.csv,2,,True,True,converse_prediction,True,,100,10,0.38865248226950355,0.00930460333006856,0.49466382070437565,0.9078549848942599,0.005042864346949067,0.36110375110903137
