verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.05,,mnist.csv,1,1.0,True,True,True,0.7144208037825059,0.7585700293829579,0.7897545357524013,0.7854984894259819,0.9440242057488654,0.7984536128185425
False,20,0.05,,mnist.csv,1,1.0,True,True,False,0.21040189125295508,0.4000979431929481,0.3110992529348986,0.8318227593152064,0.9732728189611699,0.5453389331314357
False,20,0.05,,mnist.csv,1,1.0,True,False,True,0.9205673758865248,0.8800195886385896,0.8847385272145144,0.798086606243706,0.9036812909732728,0.8774186777913215
False,20,0.05,,mnist.csv,1,1.0,True,False,False,0.724822695035461,0.7531831537708129,0.6494130202774814,0.8026183282980867,0.9636913767019667,0.7787457148167618
False,20,0.05,,mnist.csv,1,1.0,False,True,True,0.9371158392434988,0.6939275220372184,0.6467449306296692,0.8877139979859013,0.9737771053958648,0.8278558790584306
False,20,0.05,,mnist.csv,1,1.0,False,True,False,0.07044917257683216,0.197845249755142,0.15581643543223053,0.9290030211480362,0.9712556732223904,0.4648739104269263
False,20,0.05,,mnist.csv,1,1.0,False,False,True,0.975886524822695,0.9035259549461312,0.8943436499466382,0.9123867069486404,0.9288956127080181,0.9230076898744247
False,20,0.05,,mnist.csv,1,1.0,False,False,False,0.9527186761229315,0.8643486777668952,0.8596584845250801,0.8982880161127895,0.9606656580937972,0.9071359025242985
False,20,0.05,,mnist.csv,1,1.75,True,True,True,0.9101654846335697,0.7517140058765915,0.7406616862326574,0.8716012084592145,0.956631366616238,0.8461547503636542
False,20,0.05,,mnist.csv,1,1.75,True,True,False,0.1867612293144208,0.30264446620959845,0.2742796157950907,0.8892245720040282,0.9657085224407463,0.5237236811527769
False,20,0.05,,mnist.csv,1,1.75,True,False,True,0.9375886524822695,0.8393731635651323,0.880469583778015,0.7749244712990937,0.9324256177508825,0.8729562977750787
False,20,0.05,,mnist.csv,1,1.75,True,False,False,0.7815602836879433,0.8334965719882468,0.6275346851654215,0.8439073514602216,0.9667170953101362,0.8106431975223938
False,20,0.05,,mnist.csv,1,1.75,False,True,True,0.9276595744680851,0.8143976493633692,0.8175026680896478,0.8887210473313192,0.9178013111447302,0.8732164500794303
False,20,0.05,,mnist.csv,1,1.75,False,True,False,0.04018912529550828,0.0881488736532811,0.09551760939167556,0.9350453172205438,0.978315683308119,0.4274433217738256
False,20,0.05,,mnist.csv,1,1.75,False,False,True,0.9782505910165484,0.8996082272282077,0.9050160085378869,0.9073514602215509,0.9435199193141705,0.9267492412636729
False,20,0.05,,mnist.csv,1,1.75,False,False,False,0.9621749408983451,0.8398628795298727,0.8788687299893276,0.9561933534743202,0.9561270801815431,0.9186453968146818
False,20,0.05,,mnist.csv,1,2.5,True,True,True,0.908274231678487,0.7159647404505387,0.8548559231590181,0.6968781470292045,0.9051941502773575,0.8162334385189212
