verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.9555555555555556,0.7889324191968659,0.83991462113127,0.8393756294058409,0.9253656076651539,0.8698287665909372
False,20,0.1,,replay_compare.csv,1,1,False,True,True,0.8888888888888888,0.7693437806072478,0.8495197438633938,0.9290030211480362,0.9425113464447806,0.8758533561904696
False,20,0.1,,replay_compare.csv,1,1,True,False,True,0.9862884160756501,0.9138099902056807,0.9268943436499466,0.8846928499496476,0.8729198184568835,0.9169210836675615
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.9352245862884161,0.6802154750244858,0.7358591248665955,0.9199395770392749,0.9480584972264247,0.8438594520890395
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.9375886524822695,0.8060724779627816,0.5133404482390609,0.9234642497482377,0.9515885022692889,0.8264108661403278
False,20,0.1,,replay_compare.csv,1,1,False,True,True,0.9617021276595744,0.8462291870714985,0.9002134471718249,0.9169184290030211,0.8920827029752899,0.9034291787762418
False,20,0.1,,replay_compare.csv,1,1,True,False,True,0.9456264775413712,0.9000979431929481,0.8911419423692636,0.8076535750251762,0.9147755925365607,0.891859106133064
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.7725768321513002,0.5719882468168462,0.8191035218783351,0.9310171198388721,0.9450327786182552,0.8079436998607218
False,20,0.1,,replay_compare.csv,1,,True,True,True,0.5985815602836879,0.6194906953966699,0.8052294557097118,0.9350453172205438,0.9147755925365607,0.7746245242294348
False,20,0.1,,replay_compare.csv,1,,True,False,True,0.9754137115839243,0.9407443682664055,0.9140875133404482,0.8403826787512588,0.8623298033282905,0.9065916150540655
False,20,0.1,,replay_compare.csv,1,2,True,True,True,0.6903073286052009,0.6767874632713027,0.7422625400213447,0.9491440080563948,0.9319213313161876,0.7980845342540862
False,20,0.1,,replay_compare.csv,1,2,True,False,True,0.9858156028368794,0.9529872673849168,0.9172892209178228,0.8222557905337362,0.9268784669692385,0.9210452697285187
False,20,0.2,,replay_compare.csv,1,1,True,True,True,0.9895981087470449,0.9172380019588638,0.8180362860192102,0.9123867069486404,0.8582955118507312,0.899110923104898
False,20,0.2,,replay_compare.csv,1,1,False,True,True,0.9673758865248226,0.7551420176297747,0.9231590181430096,0.9310171198388721,0.9142713061018659,0.898193069647669
False,20,0.2,,replay_compare.csv,1,1,True,False,True,0.991016548463357,0.9583741429970617,0.9493062966915689,0.9229607250755287,0.8472012102874432,0.9337717847029919
False,20,0.2,,replay_compare.csv,1,1,True,True,True,0.9796690307328605,0.930460333006856,0.9210245464247598,0.9008056394763343,0.8234997478567827,0.9110918594995188
False,20,0.2,,replay_compare.csv,1,,False,False,False,0.9862884160756501,0.9240940254652301,0.9423692636072573,0.9431017119838873,0.9536056480080686,0.9498918130280186
False,20,0.2,,replay_compare.csv,1,,True,True,True,0.9664302600472813,0.8090107737512243,0.8895410885805763,0.8932527693856999,0.8996469994957136,0.8915763782520992
False,20,0.2,,replay_compare.csv,1,,True,False,True,0.9853427895981087,0.954456415279138,0.9583778014941302,0.9244712990936556,0.7196167423096319,0.9084530095549329
